sketcher,refiner,fine\_f1,grammar\_f1,grammar\_fine\_f1,backup\_f1,random\_f1
GPT-3.5-Turbo,Llama 2 7b,$0.44^{\pm 0.51}(1.67)$,$0.29^{\pm 0.01}(26.0)$,$0.23^{\pm 0.02}(25.0)$,$0.58^{\pm 0.06}(55.67)$,$0.29^{\pm 0.05}(203.0)$
GPT-3.5-Turbo,Llama 2 13b,$0.47^{\pm 0.08}(4.67)$,$0.33^{\pm 0.08}(23.0)$,$0.23^{\pm 0.02}(27.33)$,$0.56^{\pm 0.04}(59.0)$,$0.28^{\pm 0.03}(203.0)$
GPT-3.5-Turbo,Llama 3 8b,$0.49^{\pm 0.43}(3.33)$,$0.34^{\pm 0.05}(26.0)$,$0.38^{\pm 0.13}(14.67)$,$0.57^{\pm 0.03}(57.33)$,$0.32^{\pm 0.03}(203.0)$
GPT-4o,Llama 2 7b,$0.17^{\pm 0.29}(1.67)$,$0.33^{\pm 0.14}(12.33)$,$0.47^{\pm 0.12}(16.0)$,$0.79^{\pm 0.05}(24.67)$,$0.26^{\pm 0.03}(203.0)$
GPT-4o,Llama 2 13b,$0.33^{\pm nan}(1.0)$,$0.38^{\pm 0.12}(14.67)$,$0.38^{\pm 0.22}(13.33)$,$0.79^{\pm 0.06}(25.67)$,$0.29^{\pm 0.01}(203.0)$
GPT-4o,Llama 3 8b,$1.0^{\pm nan}(0.33)$,$0.3^{\pm 0.14}(15.67)$,$0.36^{\pm 0.18}(11.33)$,$0.8^{\pm 0.04}(25.0)$,$0.29^{\pm 0.04}(203.0)$
GPT-3.5-Turbo,Llama 2 7b,$0.25^{\pm 0.01}(62.0)$,$0.14^{\pm 0.02}(119.33)$,$0.15^{\pm 0.03}(118.33)$,$0.31^{\pm 0.01}(226.67)$,$0.29^{\pm 0.02}(1500.0)$
GPT-3.5-Turbo,Llama 2 13b,$0.22^{\pm 0.04}(56.0)$,$0.14^{\pm 0.02}(120.33)$,$0.14^{\pm 0.03}(119.33)$,$0.31^{\pm 0.02}(226.67)$,$0.29^{\pm 0.01}(1500.0)$
GPT-3.5-Turbo,Llama 3 8b,$0.23^{\pm 0.03}(57.33)$,$0.17^{\pm 0.01}(120.33)$,$0.15^{\pm 0.02}(119.0)$,$0.31^{\pm 0.02}(225.67)$,$0.31^{\pm 0.01}(1500.0)$
GPT-4o,Llama 2 7b,$0.1^{\pm 0.01}(16.33)$,$0.29^{\pm 0.01}(98.0)$,$0.33^{\pm 0.01}(98.0)$,$0.72^{\pm 0.0}(113.0)$,$0.28^{\pm 0.01}(1499.33)$
GPT-4o,Llama 2 13b,$0.12^{\pm 0.0}(29.33)$,$0.29^{\pm 0.03}(98.0)$,$0.32^{\pm 0.0}(98.0)$,$0.72^{\pm 0.0}(113.0)$,$0.29^{\pm 0.02}(1499.33)$
GPT-4o,Llama 3 8b,$0.13^{\pm 0.0}(25.0)$,$0.17^{\pm 0.01}(98.0)$,$0.34^{\pm 0.0}(98.0)$,$0.72^{\pm 0.0}(113.0)$,$0.28^{\pm 0.01}(1499.33)$
