sketcher,load_dir,prompt_mode,f1,executable_f1,execution_errors_rate
gpt-3.5-turbo,outputs/outputs_1,dynamic,0.47156428722747423,0.5964814306802001,0.11330049261083744
gpt-3.5-turbo,outputs/outputs_2,dynamic,0.4649199246572874,0.5967517092538249,0.1625615763546798
gpt-3.5-turbo,outputs/outputs_3,dynamic,0.49251875547773605,0.6280443024589194,0.13793103448275862
gpt-4o,outputs/outputs_1,dynamic,0.6878073908870665,0.7479985845638661,0.04926108374384237
gpt-4o,outputs/outputs_2,dynamic,0.6656274506053592,0.7387276315861413,0.07881773399014778
gpt-4o,outputs/outputs_3,dynamic,0.6730521815273381,0.7403140414838131,0.059113300492610835
gpt-3.5-turbo,outputs/outputs_1,static,0.5091449842745579,0.6628329036075263,0.16748768472906403
gpt-3.5-turbo,outputs/outputs_2,static,0.49640437441396396,0.6652703974275748,0.2019704433497537
gpt-3.5-turbo,outputs/outputs_3,static,0.5091650589306236,0.6491024436090226,0.15270935960591134
gpt-4o,outputs/outputs_1,static,0.6504221060448803,0.7486256903708278,0.10344827586206896
gpt-4o,outputs/outputs_2,static,0.6526397068481264,0.7572399918606483,0.12315270935960591
gpt-4o,outputs/outputs_3,static,0.6773837844861104,0.7799764398958355,0.12807881773399016
