sketcher,refiner,load_dir,gcd,finetune,baseline,use_backup,precision,recall,f1,executable_precision,executable_recall,executable_f1,executable_rate,parsing_errors_rate,execution_errors_rate
gpt-3.5-turbo,llama-2-7b,outputs_1,True,False,False,True,0.6783932585149625,0.625615763546798,0.6189529562111563,0.7012458438660018,0.6036585365853658,0.5786031462420405,0.8078817733990148,0.054187192118226604,0.13793103448275862
gpt-3.5-turbo,llama-2-7b,outputs_2,True,False,False,True,0.5922452029035101,0.541871921182266,0.5304390306205188,0.678973813489342,0.5606936416184971,0.5376894235275739,0.8522167487684729,0.034482758620689655,0.11330049261083744
gpt-3.5-turbo,llama-2-7b,outputs_3,True,False,False,True,0.6289405671543352,0.5862068965517241,0.5770212336692293,0.675182855567082,0.5872093023255814,0.5641564403006758,0.8472906403940886,0.054187192118226604,0.09852216748768473
gpt-3.5-turbo,llama-2-7b,outputs_1,True,False,False,False,0.7082976868908483,0.4876847290640394,0.5073066927393178,0.7012458438660018,0.6036585365853658,0.5786031462420405,0.8078817733990148,0.054187192118226604,0.13793103448275862
gpt-3.5-turbo,llama-2-7b,outputs_2,True,False,False,False,0.6765145099536016,0.47783251231527096,0.49313700940788346,0.678973813489342,0.5606936416184971,0.5376894235275739,0.8522167487684729,0.034482758620689655,0.11330049261083744
gpt-3.5-turbo,llama-2-7b,outputs_3,True,False,False,False,0.6784082912161731,0.4975369458128079,0.5115600220107379,0.675182855567082,0.5872093023255814,0.5641564403006758,0.8472906403940886,0.054187192118226604,0.09852216748768473
gpt-4o,llama-2-7b,outputs_1,True,False,False,True,0.7799138891373651,0.7192118226600985,0.7210757928551813,0.7835897922998987,0.7074468085106383,0.7084319327981857,0.9261083743842364,0.014778325123152709,0.059113300492610835
gpt-4o,llama-2-7b,outputs_2,True,False,False,True,0.7614539063479145,0.7093596059113301,0.7109244481187185,0.7543422333472396,0.6968085106382979,0.6967387680206732,0.9261083743842364,0.024630541871921183,0.04926108374384237
gpt-4o,llama-2-7b,outputs_3,True,False,False,True,0.7871754222162642,0.7438423645320197,0.7435145447976241,0.7742819499341238,0.7228260869565217,0.7203058017450626,0.9064039408866995,0.019704433497536946,0.07389162561576355
gpt-4o,llama-2-7b,outputs_1,True,False,False,False,0.7819141449683321,0.6551724137931034,0.6806831057073159,0.7835897922998987,0.7074468085106383,0.7084319327981857,0.9261083743842364,0.014778325123152709,0.059113300492610835
