LogicNLI,LogicNLI,FOLIO,LogicNLI
sketcher,refiner,f1,f1
gpt-3.5-turbo,llama-2-13b $\bigstar$,$0.35^{\pm 0.06}(21.33)$,$0.14^{\pm 0.02}(119.33)$
gpt-3.5-turbo,llama-2-13b backup,$0.41^{\pm 0.1}(21.33)$,$0.29^{\pm 0.02}(119.33)$
gpt-3.5-turbo,llama-2-13b manual,$0.58^{\pm 0.06}(18.33)$,$0.19^{\pm 0.03}(115.67)$
gpt-3.5-turbo,llama-2-7b $\bigstar$,$0.27^{\pm 0.03}(23.33)$,$0.14^{\pm 0.03}(118.33)$
gpt-3.5-turbo,llama-2-7b backup,$0.57^{\pm 0.06}(23.33)$,$0.29^{\pm 0.01}(118.33)$
gpt-3.5-turbo,llama-2-7b manual,$0.54^{\pm 0.07}(19.0)$,$0.19^{\pm 0.03}(114.67)$
gpt-3.5-turbo,llama-3-8b $\bigstar$,$0.35^{\pm 0.02}(23.33)$,$0.17^{\pm 0.02}(119.0)$
gpt-3.5-turbo,llama-3-8b backup,$0.57^{\pm 0.08}(23.33)$,$0.3^{\pm 0.03}(119.0)$
gpt-3.5-turbo,llama-3-8b manual,$0.51^{\pm 0.09}(18.67)$,$0.19^{\pm 0.03}(115.33)$
gpt-3.5-turbo,random,$0.32^{\pm 0.03}(203.0)$,$0.33^{\pm 0.01}(1500.0)$
gpt-4o,llama-2-13b $\bigstar$,$0.36^{\pm 0.11}(14.0)$,$0.29^{\pm 0.03}(98.0)$
gpt-4o,llama-2-13b backup,$0.62^{\pm 0.12}(14.0)$,$0.72^{\pm 0.0}(98.0)$
gpt-4o,llama-2-13b manual,$0.32^{\pm 0.07}(8.67)$,$0.18^{\pm 0.0}(60.67)$
gpt-4o,llama-2-7b $\bigstar$,$0.3^{\pm 0.18}(11.33)$,$0.29^{\pm 0.01}(98.0)$
gpt-4o,llama-2-7b backup,$0.69^{\pm 0.06}(11.33)$,$0.72^{\pm 0.0}(98.0)$
gpt-4o,llama-2-7b manual,$0.44^{\pm 0.14}(6.33)$,$0.18^{\pm 0.0}(60.67)$
gpt-4o,llama-3-8b $\bigstar$,$0.27^{\pm 0.19}(15.0)$,$0.17^{\pm 0.01}(98.0)$
gpt-4o,llama-3-8b backup,$0.82^{\pm 0.04}(15.0)$,$0.72^{\pm 0.0}(98.0)$
gpt-4o,llama-3-8b manual,$0.35^{\pm 0.11}(8.0)$,$0.18^{\pm 0.0}(60.67)$
gpt-4o,random,$0.32^{\pm 0.03}(203.0)$,$0.33^{\pm 0.01}(1500.0)$
