LogicNLI,LogicNLI,FOLIO,LogicNLI
sketcher,refiner,f1,f1
gpt-3.5-turbo,llama-2-13b $\bigstar$,$0.23^{\pm 0.02}(27.33)$,$0.14^{\pm 0.03}(119.33)$
gpt-3.5-turbo,llama-2-13b $\blacklozenge$ $\bigstar$,$0.33^{\pm 0.08}(23.0)$,$0.14^{\pm 0.02}(120.33)$
gpt-3.5-turbo,llama-2-7b $\bigstar$,$0.23^{\pm 0.02}(25.0)$,$0.15^{\pm 0.03}(118.33)$
gpt-3.5-turbo,llama-2-7b $\blacklozenge$ $\bigstar$,$0.29^{\pm 0.01}(26.0)$,$0.14^{\pm 0.02}(119.33)$
gpt-3.5-turbo,llama-3-8b $\bigstar$,$0.38^{\pm 0.13}(14.67)$,$0.15^{\pm 0.02}(119.0)$
gpt-3.5-turbo,llama-3-8b $\blacklozenge$ $\bigstar$,$0.34^{\pm 0.05}(26.0)$,$0.17^{\pm 0.01}(120.33)$
gpt-3.5-turbo,random,$0.3^{\pm 0.03}(203.0)$,$0.34^{\pm 0.01}(1500.0)$
gpt-4o,llama-2-13b $\bigstar$,$0.38^{\pm 0.22}(13.33)$,$0.32^{\pm 0.0}(98.0)$
gpt-4o,llama-2-13b $\blacklozenge$ $\bigstar$,$0.38^{\pm 0.12}(14.67)$,$0.29^{\pm 0.03}(98.0)$
gpt-4o,llama-2-7b $\bigstar$,$0.47^{\pm 0.12}(16.0)$,$0.33^{\pm 0.01}(98.0)$
gpt-4o,llama-2-7b $\blacklozenge$ $\bigstar$,$0.33^{\pm 0.14}(12.33)$,$0.29^{\pm 0.01}(98.0)$
gpt-4o,llama-3-8b $\bigstar$,$0.36^{\pm 0.18}(11.33)$,$0.34^{\pm 0.0}(98.0)$
gpt-4o,llama-3-8b $\blacklozenge$ $\bigstar$,$0.3^{\pm 0.14}(15.67)$,$0.17^{\pm 0.01}(98.0)$
gpt-4o,random,$0.35^{\pm 0.04}(203.0)$,$0.33^{\pm 0.02}(1499.33)$
