Sketcher,strategy,Refiner,F1,F1 (with backup),Executable Samples (%)
GPT-3.5-Turbo,Chain-of-Thought,GPT-3.5-Turbo,$0.52\pm0.0$,,
GPT-3.5-Turbo,GCLLM,GPT-3.5-Turbo,$0.5\pm0.01$,$0.6\pm0.02$,$0.74\pm0.01$
GPT-3.5-Turbo,LogicLM,GPT-3.5-Turbo,$0.49\pm0.03$,$0.62\pm0.01$,$0.63\pm0.01$
GPT-3.5-Turbo,GCLLM,Llama 2 13b,$0.5\pm0.01$,$0.62\pm0.02$,$0.71\pm0.01$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$,$0.5\pm0.01$,$0.63\pm0.03$,$0.72\pm0.01$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\bigstar$,$0.51\pm0.01$,$0.6\pm0.03$,$0.81\pm0.02$
GPT-3.5-Turbo,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.5\pm0.02$,$0.58\pm0.03$,$0.84\pm0.03$
GPT-3.5-Turbo,GCLLM,Llama 2 7b,$0.5\pm0.02$,$0.62\pm0.03$,$0.73\pm0.02$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$,$0.5\pm0.01$,$0.62\pm0.02$,$0.71\pm0.02$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\bigstar$,$0.5\pm0.01$,$0.58\pm0.04$,$0.84\pm0.02$
GPT-3.5-Turbo,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.5\pm0.02$,$0.58\pm0.04$,$0.83\pm0.02$
GPT-3.5-Turbo,GCLLM,Llama 3 8b,$0.5\pm0.02$,$0.62\pm0.02$,$0.72\pm0.02$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$,$0.5\pm0.01$,$0.61\pm0.02$,$0.72\pm0.01$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\bigstar$,$0.51\pm0.01$,$0.59\pm0.04$,$0.83\pm0.02$
GPT-3.5-Turbo,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.5\pm0.01$,$0.61\pm0.01$,$0.77\pm0.0$
GPT-4o,Chain-of-Thought,GPT-4o,$0.71\pm0.0$,,
GPT-4o,GCLLM,GPT-4o,$0.67\pm0.01$,$0.75\pm0.01$,$0.86\pm0.01$
GPT-4o,LogicLM,GPT-4o,$0.06\pmnan$,$0.71\pmnan$,$0.03\pmnan$
GPT-4o,GCLLM,Llama 2 13b,$0.68\pm0.01$,$0.74\pm0.01$,$0.87\pm0.01$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$,$0.68\pm0.01$,$0.74\pm0.01$,$0.87\pm0.01$
GPT-4o,GCLLM,Llama 2 13b $\bigstar$,$0.68\pm0.0$,$0.73\pm0.01$,$0.93\pm0.02$
GPT-4o,GCLLM,Llama 2 13b $\blacklozenge$ $\bigstar$,$0.68\pm0.01$,$0.73\pm0.01$,$0.92\pm0.01$
GPT-4o,GCLLM,Llama 2 7b,$0.67\pm0.01$,$0.73\pm0.01$,$0.88\pm0.01$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$,$0.67\pm0.01$,$0.74\pm0.0$,$0.88\pm0.01$
GPT-4o,GCLLM,Llama 2 7b $\bigstar$,$0.68\pm0.01$,$0.73\pm0.02$,$0.92\pm0.01$
GPT-4o,GCLLM,Llama 2 7b $\blacklozenge$ $\bigstar$,$0.69\pm0.0$,$0.73\pm0.0$,$0.94\pm0.01$
GPT-4o,GCLLM,Llama 3 8b,$0.68\pm0.01$,$0.74\pm0.01$,$0.88\pm0.01$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$,$0.67\pm0.01$,$0.74\pm0.01$,$0.87\pm0.01$
GPT-4o,GCLLM,Llama 3 8b $\bigstar$,$0.67\pm0.01$,$0.71\pm0.02$,$0.93\pm0.01$
GPT-4o,GCLLM,Llama 3 8b $\blacklozenge$ $\bigstar$,$0.67\pm0.01$,$0.73\pm0.01$,$0.91\pm0.01$
