sketcher,load_dir,prompt_mode,f1,executable_f1,executable_rate
gpt-3.5-turbo,outputs/outputs_1,dynamic,0.47156428722747423,0.5964814306802001,0.6699507389162561
gpt-3.5-turbo,outputs/outputs_2,dynamic,0.4649199246572874,0.5967517092538249,0.6600985221674877
gpt-3.5-turbo,outputs/outputs_3,dynamic,0.49251875547773605,0.6280443024589194,0.6699507389162561
gpt-4o,outputs/outputs_1,dynamic,0.6878073908870665,0.7479985845638661,0.8571428571428571
gpt-4o,outputs/outputs_2,dynamic,0.6656274506053592,0.7387276315861413,0.8275862068965517
gpt-4o,outputs/outputs_3,dynamic,0.6730521815273381,0.7403140414838131,0.8423645320197044
gpt-3.5-turbo,outputs/outputs_1,static,0.5091449842745579,0.6628329036075263,0.645320197044335
gpt-3.5-turbo,outputs/outputs_2,static,0.49640437441396396,0.6652703974275748,0.6206896551724138
gpt-3.5-turbo,outputs/outputs_3,static,0.5091650589306236,0.6491024436090226,0.6551724137931034
gpt-4o,outputs/outputs_1,static,0.6504221060448803,0.7486256903708278,0.7783251231527094
gpt-4o,outputs/outputs_2,static,0.6526397068481264,0.7572399918606483,0.7733990147783252
gpt-4o,outputs/outputs_3,static,0.6773837844861104,0.7799764398958355,0.7832512315270936
